,Season,Season Encoding,Date,YearOfSeason,YearOfSeason Encoding,HomeTeam,HomeTeam Encoding,AwayTeam,AwayTeam Encoding,FTHG,FTAG,FTR,FTR Encoding,HTHG,HTAG,HTR,Referee,Referee Encoding,Fouls Called Per Game,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
63,Fall,0,01/11/2020,2019/20,2,Newcastle,17,Everton,7,2.0,1.0,H,0,0.0,0.0,D,S Attwell,11,14.0,11.0,15.0,4.0,4.0,9.0,10.0,5.0,4.0,2.0,4.0,0.0,0.0
64,Fall,0,01/11/2020,2019/20,2,Man United,15,Arsenal,0,0.0,1.0,A,1,0.0,0.0,D,M Dean,23,14.0,8.0,7.0,2.0,2.0,12.0,12.0,6.0,3.0,3.0,3.0,0.0,0.0
65,Fall,0,01/11/2020,2019/20,2,Tottenham,25,Brighton,3,2.0,1.0,H,0,1.0,0.0,H,G Scott,21,13.0,9.0,6.0,3.0,2.0,14.0,13.0,4.0,5.0,2.0,1.0,0.0,0.0
66,Fall,0,02/11/2020,2019/20,2,Fulham,8,West Brom,27,2.0,0.0,H,0,2.0,0.0,H,S Hooper,0,14.0,13.0,10.0,6.0,1.0,13.0,11.0,5.0,2.0,3.0,2.0,0.0,0.0
67,Fall,0,02/11/2020,2019/20,2,Leeds,11,Leicester,12,1.0,4.0,A,1,0.0,2.0,A,A Marriner,14,13.0,11.0,10.0,4.0,8.0,9.0,5.0,10.0,3.0,1.0,1.0,0.0,0.0
68,Fall,0,06/11/2020,2019/20,2,Brighton,3,Burnley,-1,0.0,0.0,D,2,0.0,0.0,D,M Dean,23,14.0,19.0,4.0,3.0,1.0,11.0,5.0,5.0,3.0,1.0,0.0,0.0,0.0
69,Fall,0,06/11/2020,2019/20,2,Southampton,21,Newcastle,17,2.0,0.0,H,0,1.0,0.0,H,P Bankes,3,13.0,15.0,4.0,8.0,2.0,12.0,11.0,8.0,3.0,1.0,2.0,0.0,0.0
70,Fall,0,07/11/2020,2019/20,2,Everton,7,Man United,15,1.0,3.0,A,1,1.0,2.0,A,P Tierney,5,15.0,7.0,13.0,1.0,5.0,12.0,19.0,5.0,2.0,4.0,2.0,0.0,0.0
71,Fall,0,07/11/2020,2019/20,2,Crystal Palace,6,Leeds,11,4.0,1.0,H,0,3.0,1.0,H,C Kavanagh,7,14.0,10.0,9.0,6.0,3.0,9.0,1.0,3.0,6.0,0.0,2.0,0.0,0.0
72,Fall,0,07/11/2020,2019/20,2,Chelsea,5,Sheffield United,20,4.0,1.0,H,0,2.0,1.0,H,J Moss,27,14.0,20.0,6.0,9.0,3.0,5.0,14.0,6.0,7.0,0.0,2.0,0.0,0.0
73,Fall,0,07/11/2020,2019/20,2,West Ham,28,Fulham,8,1.0,0.0,H,0,0.0,0.0,D,R Jones,17,14.0,16.0,13.0,7.0,3.0,10.0,9.0,9.0,5.0,2.0,2.0,0.0,0.0
74,Fall,0,08/11/2020,2020/21,1,West Brom,27,Tottenham,25,0.0,1.0,A,1,0.0,0.0,D,A Madley,20,15.0,12.0,19.0,2.0,5.0,17.0,12.0,9.0,6.0,1.0,0.0,0.0,0.0
75,Fall,0,08/11/2020,2020/21,1,Leicester,12,Wolves,29,1.0,0.0,H,0,1.0,0.0,H,A Taylor,10,15.0,10.0,7.0,3.0,2.0,12.0,8.0,6.0,3.0,2.0,3.0,0.0,0.0
